                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                    nan,                    nan,                    nan,                0.00473,                   0.05,                0.01451,                0.00502,                    nan,                    nan,                    nan,             0.00011082,             0.00011082,             0.00011082
                     40,                    nan,                    nan,                    nan,                0.00473,                   0.05,                0.01451,                0.00502,                    nan,                    nan,                    nan,             9.6155e-05,             9.6155e-05,             9.6155e-05
                     41,                    nan,                    nan,                    nan,                0.00773,                0.07778,                0.01694,                 0.0078,                    nan,                    nan,                    nan,             8.2438e-05,             8.2438e-05,             8.2438e-05
                     42,                    nan,                    nan,                    nan,                0.00773,                0.07778,                0.01694,                 0.0078,                    nan,                    nan,                    nan,             6.9726e-05,             6.9726e-05,             6.9726e-05
                     43,                    nan,                    nan,                    nan,                0.00773,                0.07778,                0.01694,                 0.0078,                    nan,                    nan,                    nan,             5.8067e-05,             5.8067e-05,             5.8067e-05
                     44,                    nan,                    nan,                    nan,                0.00447,                   0.05,                0.00995,                0.00546,                    nan,                    nan,                    nan,             4.7509e-05,             4.7509e-05,             4.7509e-05
                     45,                    nan,                    nan,                    nan,                0.00447,                   0.05,                0.00995,                0.00546,                    nan,                    nan,                    nan,             3.8093e-05,             3.8093e-05,             3.8093e-05
                     46,                    nan,                    nan,                    nan,                0.00447,                   0.05,                0.00995,                0.00546,                    nan,                    nan,                    nan,             2.9855e-05,             2.9855e-05,             2.9855e-05
                     47,                    nan,                    nan,                    nan,                 0.0098,                0.12222,                0.02437,                0.01497,                    nan,                    nan,                    nan,             2.2829e-05,             2.2829e-05,             2.2829e-05
                     48,                    nan,                    nan,                    nan,                 0.0098,                0.12222,                0.02437,                0.01497,                    nan,                    nan,                    nan,             1.7043e-05,             1.7043e-05,             1.7043e-05
                     49,                    nan,                    nan,                    nan,                0.01124,                0.12778,                0.02496,                0.01482,                    nan,                    nan,                    nan,             1.2518e-05,             1.2518e-05,             1.2518e-05
                     50,                    nan,                    nan,                    nan,                0.01124,                0.12778,                0.02496,                0.01482,                    nan,                    nan,                    nan,             9.2734e-06,             9.2734e-06,             9.2734e-06
