                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.064,                 1.2061,                 1.1364,                0.80539,                0.72464,                 0.9213,                0.61039,                 1.1721,                 1.4957,                 1.2875,             0.00017778,             0.00017778,             0.00017778
                     35,                 1.1199,                 1.2257,                 1.1481,                0.80539,                0.72464,                 0.9213,                0.61039,                 1.1721,                 1.4957,                 1.2875,             0.00017778,             0.00017778,             0.00017778
                     36,                 1.0647,                 1.1815,                 1.1196,                0.79036,                0.75123,                0.93972,                0.63489,                 1.1516,                 1.3269,                 1.2839,             0.00015992,             0.00015992,             0.00015992
                     37,                 1.0469,                 1.2437,                  1.136,                0.79036,                0.75123,                0.93972,                0.63489,                 1.1516,                 1.3269,                 1.2839,             0.00014277,             0.00014277,             0.00014277
                     38,                 1.1072,                  1.247,                 1.2133,                0.79036,                0.75123,                0.93972,                0.63489,                 1.1516,                 1.3269,                 1.2839,             0.00012638,             0.00012638,             0.00012638
                     39,                  1.161,                 1.3657,                 1.2116,                0.77465,                0.88889,                0.93972,                0.63338,                 1.1293,                 1.2046,                 1.2694,             0.00011082,             0.00011082,             0.00011082
                     40,                 1.0162,                 1.1197,                 1.1079,                0.77465,                0.88889,                0.93972,                0.63338,                 1.1293,                 1.2046,                 1.2694,             9.6155e-05,             9.6155e-05,             9.6155e-05
                     41,                 1.0207,                 1.4945,                 1.1466,                0.75717,                0.88889,                0.93972,                0.63474,                 1.1035,                  1.085,                 1.2592,             8.2438e-05,             8.2438e-05,             8.2438e-05
                     42,                 1.0326,                 1.3264,                 1.1508,                0.75717,                0.88889,                0.93972,                0.63474,                 1.1035,                  1.085,                 1.2592,             6.9726e-05,             6.9726e-05,             6.9726e-05
                     43,                 1.0156,                 1.3965,                 1.1226,                0.75717,                0.88889,                0.93972,                0.63474,                 1.1035,                  1.085,                 1.2592,             5.8067e-05,             5.8067e-05,             5.8067e-05
                     44,                 1.0021,                 1.4123,                 1.1095,                0.81446,                0.88889,                0.93972,                0.64543,                 1.0838,                 0.9699,                 1.2547,             4.7509e-05,             4.7509e-05,             4.7509e-05
                     45,                  1.006,                 1.3068,                 1.1446,                0.81446,                0.88889,                0.93972,                0.64543,                 1.0838,                 0.9699,                 1.2547,             3.8093e-05,             3.8093e-05,             3.8093e-05
                     46,                0.93897,                  1.339,                 1.1404,                0.81446,                0.88889,                0.93972,                0.64543,                 1.0838,                 0.9699,                 1.2547,             2.9855e-05,             2.9855e-05,             2.9855e-05
                     47,                0.90944,                 1.2985,                 1.1503,                 0.8291,                0.88889,                0.93972,                0.64096,                 1.0682,                 0.8974,                 1.2472,             2.2829e-05,             2.2829e-05,             2.2829e-05
                     48,                0.96792,                 1.2498,                 1.1011,                 0.8291,                0.88889,                0.93972,                0.64096,                 1.0682,                 0.8974,                 1.2472,             1.7043e-05,             1.7043e-05,             1.7043e-05
                     49,                 1.0266,                  1.317,                 1.1246,                0.83423,                0.88889,                0.93972,                0.64228,                 1.0607,                0.86412,                 1.2457,             1.2518e-05,             1.2518e-05,             1.2518e-05
                     50,                 0.9449,                 1.2037,                 1.1007,                0.83423,                0.88889,                0.93972,                0.64228,                 1.0607,                0.86412,                 1.2457,             9.2734e-06,             9.2734e-06,             9.2734e-06
